episode,reward
223,-16.657101511963337
224,-15.347347212751373
225,-17.060943359668386
226,-17.5894231543162
227,-19.176647641807282
228,-17.905832387103413
229,-17.343629265262347
230,-16.71092281795883
231,-18.34016276505615
232,-18.94126813668835
233,-21.94453352249153
234,-18.84395373787107
235,-19.252322019391432
236,-18.344410173426418
237,-18.435128425239643
238,-17.95459875137995
239,-18.395056453872666
240,-18.222244435212932
241,-16.23708290889202
242,-18.054272497559445
243,-16.539320687743004
244,-18.089866015816646
245,-18.22592342774138
246,-16.95776156414465
247,-19.85346513369331
248,-17.507874381720605
249,-19.956922886308185
250,-14.691139126189375
251,-17.377059501374145
252,-18.976825475656923
253,-16.775732321370526
254,-18.03796580191643
255,-17.445174103531972
256,-16.105753080787753
257,-18.58635779454516
258,-16.144912300580287
259,-15.478281309903977
260,-17.572750166405566
261,-19.699166617698367
262,-16.51533198068879
263,-17.449476938821565
264,-20.34255787311298
265,-20.0582791431775
266,-19.08497559563151
267,-19.138960701071177
268,-19.03239887511452
269,-16.961103639415438
270,-17.45303793102751
271,-16.15545390605102
272,-16.601030147288082
273,-18.190857752502126
274,-18.2533647177249
275,-17.84604828977178
276,-18.656643888466
277,-17.916981967424285
278,-18.992648975271162
279,-18.59417106695412
280,-15.803236873059905
281,-18.35682884148773
282,-18.579771352296564
283,-17.78569398324508
284,-17.327378465321193
285,-18.113650999437652
286,-19.548351295999538
287,-16.10339022122897
288,-17.312828632860025
289,-17.121523733979785
290,-17.723325285901808
291,-19.086289457172256
292,-16.91091826490236
293,-19.099726709215417
294,-18.931392419114395
295,-18.767196832573404
296,-18.77542308388709
297,-19.411868264076578
298,-18.910803870651343
299,-18.199939460069803
300,-16.131932941233003
301,-20.059922054980767
302,-21.519160824429733
303,-17.578022161887628
304,-20.664197170772425
305,-20.42356319519833
306,-16.170108752485266
307,-18.759954495240297
308,-17.436070180049253
309,-18.109867981085586
310,-16.191391746343854
311,-16.08052618735751
312,-19.721471991569775
313,-14.960264406304375
314,-18.681685206138454
315,-16.96754118459894
316,-20.162123408577507
317,-18.833363492134833
318,-18.89153977952223
319,-19.640035408338363
320,-19.898588508986517
321,-18.16357048975728
322,-21.74062178603592
323,-18.947709385629906
324,-19.64089210619771
325,-19.524181604766426
326,-17.89631651917492
327,-15.808644177688015
328,-16.469724967301918
329,-15.36200877235442
330,-19.39403456785251
331,-17.432884225455723
332,-19.112249553092457
333,-19.15050962551101
334,-20.018189575532517
335,-18.573383066308413
336,-19.937623495778567
337,-17.99046771374828
338,-18.768196097433616
339,-15.919367864229732
340,-20.413136267615908
341,-18.465049765235342
342,-21.16618514506362
343,-19.147897987710216
344,-17.453076252256476
345,-17.01867347973133
346,-17.98144825601572
347,-17.202257836011494
348,-21.858262364396527
349,-15.619472701062152
350,-16.26886062439837
351,-18.867275523737987
352,-16.40012686622488
353,-18.983267172675237
354,-16.872641720695114
355,-19.11085347214112
356,-18.13438687406452
357,-15.92565879469548
358,-16.30780894575306
359,-15.692057584561079
360,-19.157644246184642
361,-17.432795921942866
362,-17.208834489205984
363,-16.827734312304237
364,-17.572914403061304
365,-16.377824624417944
366,-19.26670586444474
367,-15.989321017853474
368,-19.512006844909173
369,-15.25197578093794
370,-19.23001126379266
371,-16.93065371805827
372,-17.129482530941534
373,-18.65207523490512
374,-18.01337633075778
375,-19.717831395739772
376,-15.905657454692786
377,-14.784451878451526
378,-18.369020811030623
379,-16.217521908744423
380,-18.13409369247557
381,-15.279150549369273
382,-19.88457805516865
383,-18.164580613138774
384,-14.98823475291313
385,-15.237055791003021
386,-15.676391769653593
387,-16.028833292123547
388,-18.488412763807425
389,-19.858032658357804
390,-15.809163382592228
391,-18.166196081352282
392,-14.455581053225819
393,-18.682650272976236
394,-17.38439375243238
395,-17.308033435866633
396,-18.288426645646823
397,-15.890516643113736
398,-15.893451568618227
399,-20.627935165254364
400,-19.06946097776039
401,-17.555653453718957
402,-23.235222842803644
403,-18.949271370556453
404,-17.919785394583442
405,-18.601340173408584
406,-18.71431867730849
407,-18.64932911404538
408,-16.190620215522532
409,-19.894137157977124
410,-15.61918743897799
411,-16.13711704803281
412,-15.803236873059905
413,-18.750168200616585
414,-16.00908163304812
415,-15.803236873059905
416,-17.45417956397895
417,-18.415659198929067
418,-15.097319731038679
419,-17.340213152813142
420,-19.547669506625173
421,-17.23160587573647
422,-17.4225884051551
423,-16.314874732194163
424,-18.229322012152608
425,-17.86861179038864
426,-14.872831419546575
427,-19.560041705118365
428,-19.43643203632967
429,-16.503078277785434
430,-18.21011103808247
431,-15.806633580402632
432,-17.03351279410425
433,-18.495484066819724
434,-16.685840945846888
435,-19.64748352466898
436,-15.803236873059905
437,-19.735702968975975
438,-23.836645263837656
439,-15.629950585841101
440,-20.359821842938693
441,-20.445127342475057
442,-18.576170300943172
443,-16.201509211976962
444,-23.928016704062667
445,-16.932387397532498
446,-17.02362302142102
447,-18.36886356051222
448,-19.472404088133143
449,-17.14638937770405
450,-22.893491908390786
451,-16.90198198409797
452,-19.106001751849277
453,-20.528400460299878
454,-16.263939441217314
455,-17.052194932071842
456,-19.88982011899632
457,-16.13351271639202
458,-17.657676329477294
459,-16.645920468384517
460,-16.219434584452085
461,-17.930409678250577
462,-15.540878995361936
463,-16.964068960847307
464,-19.490297430061403
465,-18.436390333468886
466,-17.722069080781594
467,-15.92429270118072
468,-23.34374733816382
469,-16.023945067878426
470,-20.642224703862084
471,-21.953209549207465
472,-17.87098785181095
473,-17.85710023877421
474,-21.390098254102796
475,-20.846983878399623
476,-19.116188073970726
477,-20.462456801745386
478,-16.607423362343493
479,-19.89767191654151
480,-16.80085262823142
481,-20.07326684796185
482,-17.367708253312863
483,-21.19369799915712
484,-17.938573482552286
485,-18.648348483350745
486,-17.3625202714272
487,-20.465551908051967
488,-19.610870860105436
489,-19.659412005109218
490,-16.97016249156424
491,-17.04020968085489
492,-17.813973634236998
493,-19.693260108710984
494,-17.155581606530433
495,-18.110504342963132
496,-17.470337775258034
497,-16.76275997649589
498,-19.326069249351992
499,-17.46724998435332
500,-21.600980106137115
501,-16.914722090687214
502,-24.1562782504572
503,-16.167630489935313
504,-19.54673009096258
505,-25.113975793820643
506,-22.647745011738348
507,-17.741829225596344
508,-16.069924748882578
509,-18.31767139711563
510,-23.979393605132266
511,-16.694772561537672
512,-17.277075698637525
513,-18.016045783806945
514,-16.80543206087476
515,-17.05936283375138
516,-17.223804182255904
517,-17.277944392043494
518,-17.211394920566104
519,-20.787386061309668
520,-18.58686052855554
521,-18.378220098819725
522,-15.697294609362936
523,-16.73149322113441
524,-16.77570711730855
525,-18.31608792369164
526,-18.566336829902095
527,-16.75657983511451
528,-15.406973929744138
529,-16.76143476216651
530,-16.457347806557845
531,-17.366172055440174
532,-15.84954536997754
533,-16.1318893057161
534,-17.965894625062905
535,-21.553025787421316
536,-16.77554792869519
