episode,reward
301,-13.684915293204245
302,-22.899394156474823
303,-2.4224929966389888
304,-27.571801315151987
305,-20.101217164364698
306,-2.3801786228324313
307,-10.820932889383066
308,-18.920611179425414
309,-11.307823748694611
310,-2.392194777298159
311,-15.915925140917045
312,-18.240717792883213
313,-2.3397661289698997
314,-11.709246416480752
315,-2.3622990545656104
316,-18.468450962747504
317,-15.991867036690788
318,-18.518904426042454
319,-23.325102433951987
320,-27.98265513805415
321,-10.887961353619705
322,-2.1687421589061233
323,-21.102249659954325
324,-22.139194833636758
325,-22.555337752581323
326,-2.3032203278686296
327,-2.3410389466472363
328,-2.5982657473300126
329,-2.5254257803161853
330,-18.264890202222936
331,-16.76202269618138
332,-10.510768562416683
333,-11.121393946218102
334,-19.661153290054003
335,-12.419514908205752
336,-27.56464892483677
337,-32.59687314849054
338,-11.417769232084222
339,-2.720731463214611
340,-20.59820071870216
341,-16.60234370394227
342,-9.579591588995022
343,-16.832088835851454
344,-16.957057314558728
345,-21.377232762183304
346,-10.874097297823713
347,-26.238100238183698
348,-20.46541797361604
349,-2.6241572591289937
350,-2.305959105654233
351,-16.60020606459573
352,-2.493867843200869
353,-10.348259044612275
354,-11.612427503625714
355,-27.88189117284272
356,-20.489972139022257
357,-3.0814642632375233
358,-21.977080403992122
359,-2.891281450862605
360,-16.87982121268578
361,-31.62587351588232
362,-19.63997450822394
363,-5.186650114853989
364,-20.148610556632843
365,-2.874885257404582
366,-24.01616990572989
367,-11.382653737778043
368,-9.47113485983256
369,-2.3384525346530407
370,-30.85919454288403
371,-9.622602700953548
372,-16.60020606459573
373,-9.418914996539941
374,-9.791829494264677
375,-22.24547980963929
376,-2.368432494303966
377,-30.927041280941793
378,-16.764053150542622
379,-9.60948547117651
380,-9.472887521305255
381,-2.304236027503116
382,-22.485148267052576
383,-19.63997450822394
384,-2.3258011217680643
385,-2.3258011217680643
386,-2.4562943667444346
387,-2.335852519703538
388,-19.9026244734633
389,-19.63997450822394
390,-2.4760346415488597
391,-16.60020606459573
392,-2.3258011217680643
393,-9.295924373494918
394,-16.60020606459573
395,-16.60020606459573
396,-19.68620810478099
397,-2.4581114035356273
398,-2.525930343146797
399,-9.349575018243085
400,-9.389425065372555
401,-19.63997450822394
402,-21.844719958612767
403,-10.28679941607676
404,-19.81026150179133
405,-10.328791020696697
406,-16.575666626750337
407,-10.805086706322601
408,-2.935343608580401
409,-19.63997450822394
410,-4.284816449465705
411,-3.4996192620730673
412,-2.100971261200007
413,-9.83574866597373
414,-3.7883824910145916
415,-3.677017081054868
416,-16.697206341298568
417,-19.63997450822394
418,-1.9603038056955262
419,-9.253553108095492
420,-16.782529057014923
421,-19.63997450822394
422,-18.61469720271797
423,-19.63997450822394
424,-16.685376947718513
425,-9.367541623661841
426,-1.8924731494030014
427,-23.156999103079826
